[2025-03-20 12:37:46,154] [INFO] Node started: localhost:30104 | index=105 | f=1, k=4
[2025-03-20 12:38:21,651] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:21,672] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:21,673] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:21,690] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:21,690] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30116 | Distance:  142.78 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:21,714] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:21,727] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:21,739] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30091 | Distance:  141.18 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:21,755] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30119 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:21,771] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30069 | Distance:   64.73 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:21,789] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30080 | Distance:  136.01 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:27,181] [INFO] Phase: PRE-PREPARE | Receiver: 30104 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4662s | Size: 16782176 bit
[2025-03-20 12:38:27,355] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30104 | Distance:   78.95 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:38:30,088] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:30,102] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30104 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:38:30,600] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:30,627] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:30,661] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:30,694] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30080 | Distance:  136.01 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:30,718] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:30,740] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:30,766] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:30,809] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:30,837] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:30,869] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:30,882] [INFO] Phase: PRE-REPLY | Receiver: 30073 | Sender: 30104 | Distance:  122.13 m | Delay: 0.6991s | Size: 16778152 bit
[2025-03-20 12:38:30,947] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:30,980] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:31,004] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16779000 bit
