[2025-03-20 12:20:59,292] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:05,791] [INFO] Phase: PRE-PREPARE | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:21:05,791] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:  106.59 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:21:05,882] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:21:05,886] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:21:06,214] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:06,227] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:06,300] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:06,350] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:21:06,879] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:06,914] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:21:06,981] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778976 bit
[2025-03-20 12:21:06,994] [INFO] Phase: PRE-REPLY | Receiver: 30002 | Sender: 30032 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:21:07,058] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:21:07,090] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:21:07,218] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:07,270] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:07,305] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:31,701] [INFO] Node started: localhost:30032 | index= 33 | f=1, k=4
[2025-03-20 12:37:53,585] [INFO] Phase: PRE-PREPARE | Receiver: 30032 | Sender: 30015 | Distance:   61.46 m | Delay: 0.4662s | Size: 16782240 bit
[2025-03-20 12:37:53,594] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:   61.46 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:37:53,927] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30088 | Distance:  102.65 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:53,937] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:  102.65 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:37:57,163] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30009 | Distance:   49.61 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:57,212] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30020 | Distance:   34.07 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:37:57,487] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30008 | Distance:  151.31 m | Delay: 0.9322s | Size: 16778992 bit
