[2025-03-20 12:38:33,203] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:33,238] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:33,277] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:33,311] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:33,354] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:33,384] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:34,088] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:39,942] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:40,003] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:40,035] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:40,073] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,114] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,174] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,269] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16779000 bit
