[2025-03-20 12:38:36,101] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30056 | Distance:  147.05 m | Delay: 0.6991s | Size: 16778056 bit
[2025-03-20 12:38:38,833] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30022 | Distance:   76.04 m | Delay: 0.4660s | Size: 16778048 bit
[2025-03-20 12:38:47,710] [INFO] Round 2: 22.6947 seconds
[2025-03-20 12:38:49,733] [INFO] [CLIENT] Sending PRE-REQUEST to Manager 30022 for Cluster 0 | Distance:  107.23 m | Delay: 0.6992s | Size: 16780384 bit
[2025-03-20 12:38:49,743] [INFO] [CLIENT] Sending PRE-REQUEST to Manager 30049 for Cluster 1 | Distance:  128.14 m | Delay: 0.6992s | Size: 16780144 bit
[2025-03-20 12:38:49,753] [INFO] [CLIENT] Sending PRE-REQUEST to Manager 30056 for Cluster 2 | Distance:  146.04 m | Delay: 0.6992s | Size: 16780440 bit
[2025-03-20 12:38:49,763] [INFO] [CLIENT] Sending PRE-REQUEST to Manager 30073 for Cluster 3 | Distance:   71.44 m | Delay: 0.4661s | Size: 16780328 bit
[2025-03-20 12:38:56,416] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30022 | Distance:   76.04 m | Delay: 0.4660s | Size: 16778048 bit
[2025-03-20 12:38:59,823] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30073 | Distance:   47.33 m | Delay: 0.3107s | Size: 16778056 bit
[2025-03-20 12:39:02,359] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30049 | Distance:  105.86 m | Delay: 0.6991s | Size: 16778056 bit
[2025-03-20 12:39:04,862] [INFO] Phase: REPLY | Receiver: 20001 | Sender: 30056 | Distance:  147.05 m | Delay: 0.6991s | Size: 16778056 bit
[2025-03-20 12:39:12,417] [INFO] Round 3: 22.6874 seconds
[2025-03-20 12:39:14,428] [INFO] [][][][]===> CONSENSUS COMPLETED in 68.4367 seconds, Average Round: 22.7937 seconds
