[2025-03-20 12:37:57,627] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30118 | Distance:  147.03 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:57,679] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30118 | Distance:  147.03 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:57,785] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30114 | Distance:  147.03 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:57,835] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30114 | Distance:  147.03 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:57,924] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30094 | Distance:   42.30 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:57,959] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30062 | Distance:  162.73 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:37:58,101] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30001 | Distance:   52.29 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:58,184] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30001 | Distance:   52.29 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:58,245] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30039 | Distance:   64.18 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:58,271] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30110 | Distance:  146.25 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:58,295] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30009 | Distance:   49.61 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:37:58,326] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30032 | Distance:  119.36 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:58,360] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30088 | Distance:  102.65 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:58,386] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30111 | Distance:   33.82 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:58,425] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30054 | Distance:   45.15 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:58,461] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30032 | Distance:  119.36 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:58,518] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30045 | Distance:  130.31 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:58,601] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30018 | Distance:  126.98 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:58,637] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30045 | Distance:  130.31 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:58,676] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30043 | Distance:  157.03 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:37:58,712] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30043 | Distance:  157.03 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:37:58,769] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30111 | Distance:   33.82 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:37:58,805] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30047 | Distance:  104.81 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:58,836] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30099 | Distance:   88.80 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:37:58,868] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30047 | Distance:  104.81 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:58,915] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30042 | Distance:  117.24 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:58,959] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30064 | Distance:  102.37 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:37:58,992] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30052 | Distance:   86.28 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:37:59,021] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30042 | Distance:  117.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:59,067] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30064 | Distance:  102.37 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:37:59,099] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30018 | Distance:  126.98 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:37:59,126] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30099 | Distance:   88.80 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:37:59,160] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30008 | Distance:  151.31 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:37:59,200] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30008 | Distance:  151.31 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:37:59,229] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30052 | Distance:   86.28 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:59,257] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30006 | Distance:   99.73 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:59,278] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30006 | Distance:   99.73 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:59,344] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30037 | Distance:  170.57 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:37:59,371] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30078 | Distance:   76.87 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:59,397] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30078 | Distance:   76.87 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:37:59,429] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30037 | Distance:  170.57 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:37:59,468] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30010 | Distance:  155.18 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:37:59,502] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30010 | Distance:  155.18 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:37:59,559] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30062 | Distance:  162.73 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:37:59,588] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30110 | Distance:  146.25 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:01,551] [INFO] Phase: PRE-PREPARE | Receiver: 30020 | Sender: 30015 | Distance:   61.46 m | Delay: 0.4662s | Size: 16782240 bit
[2025-03-20 12:38:01,555] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30020 | Distance:   61.46 m | Delay: 0.4662s | Size: 16778152 bit
[2025-03-20 12:38:08,723] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30094 | Distance:   42.30 m | Delay: 0.3107s | Size: 16778992 bit
