[2025-03-20 12:06:08,759] [INFO] Random node started: localhost:30015 | index= 16 | f=1, k=4
[2025-03-20 12:06:30,527] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30004 | Distance:  125.05 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:30,607] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30037 | Distance:  132.93 m | Delay: 0.6991s | Size: 16779144 bit
[2025-03-20 12:06:30,630] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30030 | Distance:   80.33 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,638] [INFO] Phase: PRE-REPLY | Receiver: 30036 | Sender: 30015 | Distance:   80.33 m | Delay: 0.4661s | Size: 16778320 bit
[2025-03-20 12:06:30,686] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,702] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:30,718] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30039 | Distance:  162.07 m | Delay: 0.9321s | Size: 16779152 bit
[2025-03-20 12:06:30,734] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30026 | Distance:  112.92 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:06:30,766] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30004 | Distance:  125.05 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:30,791] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30021 | Distance:  107.24 m | Delay: 0.6991s | Size: 16779152 bit
[2025-03-20 12:16:43,543] [INFO] Node started: localhost:30015 | index= 16 | f=1, k=4
[2025-03-20 12:16:58,617] [INFO] Phase: PRE-PREPARE | Receiver: 30015 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6992s | Size: 16781080 bit
[2025-03-20 12:16:58,621] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30015 | Distance:  130.62 m | Delay: 0.6992s | Size: 16778152 bit
[2025-03-20 12:16:58,927] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:58,932] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30015 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:16:59,041] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:59,395] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:59,498] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30000 | Distance:  151.52 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:16:59,531] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:16:59,576] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778984 bit
