[2025-03-20 12:39:54,516] [INFO] Node started: localhost:30104 | index=105 | f=1, k=4
[2025-03-20 12:40:26,220] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:27,049] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:27,449] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30060 | Distance:   93.08 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:27,635] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:27,760] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30072 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778992 bit
[2025-03-20 12:40:35,342] [INFO] Phase: PRE-PREPARE | Receiver: 30104 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4662s | Size: 16782160 bit
[2025-03-20 12:40:35,457] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30104 | Distance:   72.70 m | Delay: 0.4662s | Size: 16778152 bit
[2025-03-20 12:40:41,711] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30079 | Distance:  179.20 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:41,725] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30104 | Distance:  179.20 m | Delay: 0.9322s | Size: 16778160 bit
[2025-03-20 12:40:41,751] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30044 | Distance:   45.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:41,777] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:41,800] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:41,826] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:41,854] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30084 | Distance:  111.47 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:41,877] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:41,901] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:41,925] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:41,953] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:41,984] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:41,998] [INFO] Phase: PRE-REPLY | Receiver: 30047 | Sender: 30104 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778144 bit
[2025-03-20 12:40:42,055] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:42,081] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:42,110] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:42,143] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:42,172] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:42,544] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30000 | Distance:   79.59 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:42,593] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:42,663] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:42,999] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:43,375] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30054 | Distance:   51.32 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:48,663] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30012 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:48,939] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:49,111] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:49,418] [INFO] Phase: COMMIT | Receiver: 30104 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:49,526] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:49,621] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:50,230] [INFO] Phase: PREPARE | Receiver: 30104 | Sender: 30072 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778984 bit
