[2025-03-20 12:39:45,674] [INFO] Node started: localhost:30060 | index= 61 | f=1, k=4
[2025-03-20 12:40:41,601] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:41,625] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:41,647] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:41,674] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30084 | Distance:  111.47 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:41,700] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:41,727] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:41,757] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30079 | Distance:  179.20 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:41,782] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30054 | Distance:   51.32 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:41,820] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30012 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:41,848] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:41,879] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:41,909] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:41,943] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30044 | Distance:   45.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:41,972] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
