[2025-03-20 12:39:49,094] [INFO] Node started: localhost:30077 | index= 78 | f=1, k=4
[2025-03-20 12:40:43,038] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30015 | Distance:  107.20 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:43,068] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30113 | Distance:  127.46 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:43,097] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30109 | Distance:  115.50 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:43,127] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30085 | Distance:  175.01 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:43,167] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30046 | Distance:   94.10 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:43,199] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30008 | Distance:  112.30 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:43,234] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30019 | Distance:  141.42 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:43,272] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30026 | Distance:  134.72 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:43,303] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30021 | Distance:   50.45 m | Delay: 0.0000s | Size: 16779000 bit
[2025-03-20 12:40:43,333] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30058 | Distance:   78.92 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:43,363] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30083 | Distance:   59.29 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:43,412] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30070 | Distance:   50.45 m | Delay: 0.0000s | Size: 16779000 bit
[2025-03-20 12:40:43,447] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30061 | Distance:   82.49 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:43,487] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30080 | Distance:  120.26 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:44,232] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30007 | Distance:  160.98 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:44,465] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30018 | Distance:   77.01 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:44,683] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30102 | Distance:  106.33 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:47,310] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30087 | Distance:  139.49 m | Delay: 0.6991s | Size: 16778968 bit
[2025-03-20 12:40:47,354] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30055 | Distance:   57.40 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:47,369] [INFO] Phase: PRE-REPLY | Receiver: 30038 | Sender: 30077 | Distance:   57.40 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:40:47,510] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30067 | Distance:  138.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:47,545] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30039 | Distance:   90.24 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:47,647] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30111 | Distance:  134.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:47,686] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30062 | Distance:  138.72 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:47,720] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30088 | Distance:   90.71 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:47,758] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30046 | Distance:   94.10 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:47,824] [INFO] Phase: PREPARE | Receiver: 30077 | Sender: 30059 | Distance:   93.88 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:47,891] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30031 | Distance:  102.57 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:47,922] [INFO] Phase: COMMIT | Receiver: 30077 | Sender: 30018 | Distance:   77.01 m | Delay: 0.4661s | Size: 16778992 bit
