[2025-03-20 12:06:11,777] [INFO] Random node started: localhost:30030 | index= 31 | f=1, k=4
[2025-03-20 12:17:35,946] [INFO] Phase: PRE-REPLY | Receiver: 30038 | Sender: 30030 | Distance:   83.17 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:17:35,971] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30036 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:35,975] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30024 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:36,134] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30019 | Distance:  125.69 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:36,164] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30021 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:36,180] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30005 | Distance:   98.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:36,662] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30002 | Distance:   79.80 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:17:43,948] [INFO] Phase: PRE-PREPARE | Receiver: 30030 | Sender: 30021 | Distance:   80.82 m | Delay: 0.4661s | Size: 16781080 bit
[2025-03-20 12:17:43,952] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:17:44,457] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30023 | Distance:   83.17 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:44,459] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30030 | Distance:   83.17 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:17:44,459] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30024 | Distance:   74.04 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:44,508] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30036 | Distance:   80.82 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:44,548] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30013 | Distance:  112.68 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:44,642] [INFO] Phase: COMMIT | Receiver: 30030 | Sender: 30013 | Distance:  112.68 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:44,685] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30005 | Distance:   98.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:44,705] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30002 | Distance:   79.80 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:44,723] [INFO] Phase: PREPARE | Receiver: 30030 | Sender: 30019 | Distance:  125.69 m | Delay: 0.6991s | Size: 16778992 bit
