[2025-03-20 12:40:35,366] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:35,631] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:35,643] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30119 | Distance:  117.71 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:40:38,647] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:42,939] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:42,969] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:43,013] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:43,074] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:43,331] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:43,402] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:43,508] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:43,550] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:43,631] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:43,663] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30044 | Distance:   45.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:43,696] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:43,720] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:43,747] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30084 | Distance:  111.47 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:43,783] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:43,793] [INFO] Phase: PRE-REPLY | Receiver: 30047 | Sender: 30119 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:40:43,846] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30079 | Distance:  179.20 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:43,870] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30000 | Distance:   79.59 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:43,894] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:43,922] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:43,951] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30012 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:43,979] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30054 | Distance:   51.32 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:44,003] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30104 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:44,030] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:44,056] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30072 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778984 bit
[2025-03-20 12:40:44,084] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:44,149] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:44,185] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30060 | Distance:   93.08 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:44,258] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:44,288] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:44,315] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:44,386] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30079 | Distance:  179.20 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:44,412] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30044 | Distance:   45.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:44,436] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:44,463] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:44,485] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30084 | Distance:  111.47 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:44,507] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30054 | Distance:   51.32 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:44,529] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:44,562] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:44,586] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:44,638] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:44,673] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:44,719] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30072 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778992 bit
[2025-03-20 12:40:44,746] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30000 | Distance:   79.59 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:44,990] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:45,369] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30012 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:45,830] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:46,552] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:47,426] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:48,381] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:49,372] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30060 | Distance:   93.08 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:49,903] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:51,038] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30033 | Distance:  168.38 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:51,247] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30033 | Distance:  168.38 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:51,494] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30104 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:58,633] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30119 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16782520 bit
[2025-03-20 12:40:58,633] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30119 | Distance:    0.00 m | Delay: N/A | Size: 16781336 bit
[2025-03-20 12:41:00,732] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:41:00,782] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:41:00,797] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30119 | Distance:   51.61 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:41:00,831] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:41:00,867] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:41:00,900] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:41:01,324] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:08,966] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778992 bit
