[2025-03-20 12:06:05,770] [INFO] Random node started: localhost:30000 | index=  1 | f=1, k=4
[2025-03-20 12:06:30,686] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30001 | Distance:  116.31 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:06:30,702] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30031 | Distance:   52.50 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,718] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30029 | Distance:   76.51 m | Delay: 0.4661s | Size: 16779152 bit
[2025-03-20 12:06:30,750] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30013 | Distance:  139.92 m | Delay: 0.6991s | Size: 16779160 bit
[2025-03-20 12:16:40,524] [INFO] Node started: localhost:30000 | index=  1 | f=1, k=4
[2025-03-20 12:16:58,386] [INFO] Phase: PRE-PREPARE | Receiver: 30000 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6992s | Size: 16781080 bit
[2025-03-20 12:16:58,389] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:  130.62 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:16:58,740] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:16:58,747] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:  174.27 m | Delay: 0.9322s | Size: 16778160 bit
[2025-03-20 12:16:58,789] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:59,207] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:16:59,232] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:59,449] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:59,457] [INFO] Phase: PRE-REPLY | Receiver: 30014 | Sender: 30000 | Distance:  133.33 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:16:59,578] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:16:59,610] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:59,632] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
