[2025-03-20 12:40:49,925] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30051 | Distance:   56.87 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:50,279] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30098 | Distance:  111.29 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:50,660] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30050 | Distance:  114.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:50,696] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30003 | Distance:   89.31 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:50,758] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30114 | Distance:   88.51 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:50,802] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30051 | Distance:   56.87 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:50,838] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30003 | Distance:   89.31 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:50,883] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30114 | Distance:   88.51 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:51,077] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30004 | Distance:   54.24 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:51,115] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30020 | Distance:   96.56 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:51,164] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30020 | Distance:   96.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:51,200] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30115 | Distance:  127.47 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:40:51,230] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30115 | Distance:  127.47 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:51,272] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30034 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:51,302] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30048 | Distance:   58.12 m | Delay: 0.4661s | Size: 16779000 bit
