[2025-03-24 11:40:07,720] [INFO] [Node_ 16] Starting node at localhost:30015 | index= 16 | f=1, k=4
[2025-03-24 11:47:32,937] [INFO] [Node_ 16] Starting node at localhost:30015 | index= 16 | f=1, k=4
[2025-03-24 11:47:39,470] [INFO] [Node_ 16] Received COMMIT: id:1742784458645, from:30002, delay:0.1554s, distance:0006.77m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:39,470] [INFO] [Node_ 16] Received COMMIT: id:1742784458645, from:30001, delay:0.1554s, distance:0003.61m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:39,470] [INFO] [Node_ 16] Received COMMIT: id:1742784458645, from:30004, delay:0.1554s, distance:0018.94m (Euclidean), mes_siz_bit:8390240
[2025-03-24 11:47:39,483] [INFO] [Node_ 16] Received COMMIT: id:1742784458645, from:30003, delay:0.1554s, distance:0009.76m (Euclidean), mes_siz_bit:8390232
[2025-03-24 11:47:39,502] [INFO] [Node_ 16] Cleaned up 1 finished statuses
[2025-03-24 11:47:56,377] [INFO] [Node_ 16] Starting node at localhost:30015 | index= 16 | f=1, k=4
[2025-03-24 11:50:15,745] [INFO] [Node_ 16] Starting node at localhost:30015 | index= 16 | f=1, k=4
[2025-03-24 11:52:24,869] [INFO] [Node_ 16] Starting node at localhost:30015 | index= 16 | f=1, k=4
[2025-03-24 12:08:12,257] [INFO] [Node_ 16] Starting node at localhost:30015 | index= 16 | f=1, k=4
[2025-03-24 12:10:09,291] [INFO] [Node_ 16] Starting node at localhost:30015 | index= 16 | f=1, k=4
[2025-03-24 12:11:59,841] [INFO] [Node_ 16] Starting node at localhost:30015 | index= 16 | f=1, k=4
[2025-03-24 12:14:12,178] [INFO] [Node_ 16] Starting node at localhost:30015 | index= 16 | f=1, k=4
[2025-03-24 12:15:37,625] [INFO] [Node_ 16] Received PRE-PREPARE: id:1742786137492, from:30000, delay:0.1554s, distance:0018.08m (Euclidean), mes_siz_bit:8390232
[2025-03-24 12:15:37,819] [INFO] [Node_ 16] Received PREPARE: id:1742786137492, from:30004, delay:0.1554s, distance:0018.94m (Euclidean), mes_siz_bit:8390248
[2025-03-24 12:15:37,825] [INFO] [Node_ 16] Received PREPARE: id:1742786137492, from:30005, delay:0.1554s, distance:0009.11m (Euclidean), mes_siz_bit:8390248
