[2025-03-24 11:47:39,361] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30016, delay:0.1554s, distance:0021.17m (Euclidean), mes_siz_bit:8389496
[2025-03-24 11:47:39,361] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30019, delay:0.1554s, distance:0022.66m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:39,396] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30011, delay:0.1554s, distance:0022.69m (Euclidean), mes_siz_bit:8389504
[2025-03-24 11:47:39,413] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30009, delay:0.1554s, distance:0016.69m (Euclidean), mes_siz_bit:8389504
[2025-03-24 11:47:39,420] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30018, delay:0.1554s, distance:0029.80m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:39,428] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30015, delay:0.1554s, distance:0018.08m (Euclidean), mes_siz_bit:8389504
[2025-03-24 11:47:39,448] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30017, delay:0.1554s, distance:0022.05m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:39,483] [INFO] [Node_  1] Cleaned up 1 finished statuses
[2025-03-24 11:47:39,499] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30013, delay:0.1554s, distance:0023.37m (Euclidean), mes_siz_bit:8389504
[2025-03-24 11:47:39,515] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30007, delay:0.1554s, distance:0022.10m (Euclidean), mes_siz_bit:8389504
[2025-03-24 11:47:39,515] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30012, delay:0.1554s, distance:0013.53m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:39,531] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30014, delay:0.1554s, distance:0022.78m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:39,531] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30010, delay:0.1554s, distance:0019.84m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:39,531] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30002, delay:0.1554s, distance:0024.84m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:39,547] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30001, delay:0.1554s, distance:0015.15m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:39,549] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30003, delay:0.1554s, distance:0027.11m (Euclidean), mes_siz_bit:8389504
[2025-03-24 11:47:39,553] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30004, delay:0.1554s, distance:0023.15m (Euclidean), mes_siz_bit:8389504
[2025-03-24 11:47:39,561] [INFO] [Node_  1] Cleaned up 1 finished statuses
[2025-03-24 11:47:39,565] [INFO] [Node_  1] Received COMMIT: id:1742784458645, from:30005, delay:0.1554s, distance:0018.95m (Euclidean), mes_siz_bit:8389512
[2025-03-24 11:47:53,366] [INFO] [Node_  1] Starting node at localhost:30000 | index=  1 | f=1, k=4
[2025-03-24 11:50:12,750] [INFO] [Node_  1] Starting node at localhost:30000 | index=  1 | f=1, k=4
[2025-03-24 11:52:21,859] [INFO] [Node_  1] Starting node at localhost:30000 | index=  1 | f=1, k=4
[2025-03-24 12:08:09,282] [INFO] [Node_  1] Starting node at localhost:30000 | index=  1 | f=1, k=4
[2025-03-24 12:10:06,284] [INFO] [Node_  1] Starting node at localhost:30000 | index=  1 | f=1, k=4
[2025-03-24 12:11:56,850] [INFO] [Node_  1] Starting node at localhost:30000 | index=  1 | f=1, k=4
[2025-03-24 12:14:09,159] [INFO] [Node_  1] Starting node at localhost:30000 | index=  1 | f=1, k=4
[2025-03-24 12:15:35,000] [INFO] [Node_  1] Starting node at localhost:30000 | index=  1 | f=1, k=4
[2025-03-24 12:15:37,508] [INFO] [Node_  1] Received REQUEST: id:1742786137492
[2025-03-24 12:15:37,738] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30004, delay:0.1554s, distance:0023.15m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:37,751] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30008, delay:0.1554s, distance:0017.03m (Euclidean), mes_siz_bit:8389504
[2025-03-24 12:15:38,029] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30005, delay:0.1554s, distance:0018.95m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,063] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30007, delay:0.1554s, distance:0022.10m (Euclidean), mes_siz_bit:8389504
[2025-03-24 12:15:38,096] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30015, delay:0.1554s, distance:0018.08m (Euclidean), mes_siz_bit:8389504
[2025-03-24 12:15:38,098] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30012, delay:0.1554s, distance:0013.53m (Euclidean), mes_siz_bit:8389504
[2025-03-24 12:15:38,112] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30014, delay:0.1554s, distance:0022.78m (Euclidean), mes_siz_bit:8389504
[2025-03-24 12:15:38,112] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30004, delay:0.1554s, distance:0023.15m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,125] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30010, delay:0.1554s, distance:0019.84m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,125] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30013, delay:0.1554s, distance:0023.37m (Euclidean), mes_siz_bit:8389504
[2025-03-24 12:15:38,125] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30011, delay:0.1554s, distance:0022.69m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,143] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30019, delay:0.1554s, distance:0022.66m (Euclidean), mes_siz_bit:8389504
[2025-03-24 12:15:38,153] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30016, delay:0.1554s, distance:0021.17m (Euclidean), mes_siz_bit:8389504
[2025-03-24 12:15:38,159] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30017, delay:0.1554s, distance:0022.05m (Euclidean), mes_siz_bit:8389504
[2025-03-24 12:15:38,166] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30002, delay:0.1554s, distance:0024.84m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,173] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30001, delay:0.1554s, distance:0015.15m (Euclidean), mes_siz_bit:8389504
[2025-03-24 12:15:38,173] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30018, delay:0.1554s, distance:0029.80m (Euclidean), mes_siz_bit:8389504
[2025-03-24 12:15:38,183] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30006, delay:0.1554s, distance:0021.73m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,189] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30009, delay:0.1554s, distance:0016.69m (Euclidean), mes_siz_bit:8389504
[2025-03-24 12:15:38,194] [INFO] [Node_  1] Received PREPARE: id:1742786137492, from:30003, delay:0.1554s, distance:0027.11m (Euclidean), mes_siz_bit:8389504
[2025-03-24 12:15:38,228] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30005, delay:0.1554s, distance:0018.95m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,252] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30008, delay:0.1554s, distance:0017.03m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,267] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30011, delay:0.1554s, distance:0022.69m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,283] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30007, delay:0.1554s, distance:0022.10m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,299] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30010, delay:0.1554s, distance:0019.84m (Euclidean), mes_siz_bit:8389496
[2025-03-24 12:15:38,317] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30016, delay:0.1554s, distance:0021.17m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,331] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30017, delay:0.1554s, distance:0022.05m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,338] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30013, delay:0.1554s, distance:0023.37m (Euclidean), mes_siz_bit:8389496
[2025-03-24 12:15:38,344] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30019, delay:0.1554s, distance:0022.66m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,350] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30018, delay:0.1554s, distance:0029.80m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,358] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30015, delay:0.1554s, distance:0018.08m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,364] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30014, delay:0.1554s, distance:0022.78m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,383] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30003, delay:0.1554s, distance:0027.11m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,385] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30002, delay:0.1554s, distance:0024.84m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,396] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30012, delay:0.1554s, distance:0013.53m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,402] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30009, delay:0.1554s, distance:0016.69m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,402] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30006, delay:0.1554s, distance:0021.73m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,414] [INFO] [Node_  1] Received COMMIT: id:1742786137492, from:30001, delay:0.1554s, distance:0015.15m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:38,441] [INFO] [Node_  1] Cleaned up 1 finished statuses
[2025-03-24 12:15:40,497] [INFO] [Node_  1] Received REQUEST: id:1742786140497
[2025-03-24 12:15:40,668] [INFO] [Node_  1] Received PREPARE: id:1742786140497, from:30006, delay:0.1554s, distance:0021.73m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:40,676] [INFO] [Node_  1] Received PREPARE: id:1742786140497, from:30003, delay:0.1554s, distance:0027.11m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:40,952] [INFO] [Node_  1] Received PREPARE: id:1742786140497, from:30012, delay:0.1554s, distance:0013.53m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:40,958] [INFO] [Node_  1] Received PREPARE: id:1742786140497, from:30009, delay:0.1554s, distance:0016.69m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:40,964] [INFO] [Node_  1] Received PREPARE: id:1742786140497, from:30005, delay:0.1554s, distance:0018.95m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:40,968] [INFO] [Node_  1] Received PREPARE: id:1742786140497, from:30001, delay:0.1554s, distance:0015.15m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:40,972] [INFO] [Node_  1] Received PREPARE: id:1742786140497, from:30008, delay:0.1554s, distance:0017.03m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:40,978] [INFO] [Node_  1] Received PREPARE: id:1742786140497, from:30011, delay:0.1554s, distance:0022.69m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:40,982] [INFO] [Node_  1] Received PREPARE: id:1742786140497, from:30002, delay:0.1554s, distance:0024.84m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:40,988] [INFO] [Node_  1] Received PREPARE: id:1742786140497, from:30007, delay:0.1554s, distance:0022.10m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:40,992] [INFO] [Node_  1] Received PREPARE: id:1742786140497, from:30010, delay:0.1554s, distance:0019.84m (Euclidean), mes_siz_bit:8389512
[2025-03-24 12:15:40,998] [INFO] [Node_  1] Received PREPARE: id:1742786140497, from:30016, delay:0.1554s, distance:0021.17m (Euclidean), mes_siz_bit:8389512
