[2025-03-12 11:29:35,621] [INFO] Node started: localhost:30175 | index=176 | f=1, k=4
[2025-03-12 11:29:41,314] [INFO] [CLUSTER LEADER 30175] Forwarded PRE-REQUEST received: {'request_id': 1741746581286, 'timestamp': 1741746581.2860746, 'data': 'llapbft_message_1741746581286', 'cluster_id': 2, 'cluster_ports': [30005, 30006, 30013, 30016, 30017, 30022, 30023, 30028, 30033, 30036, 30038, 30042, 30044, 30046, 30048, 30058, 30065, 30070, 30074, 30076, 30077, 30084, 30089, 30096, 30100, 30105, 30110, 30114, 30126, 30130, 30131, 30137, 30140, 30141, 30142, 30143, 30162, 30165, 30166, 30170, 30173, 30175, 30178, 30182, 30192, 30198, 30199], 'leader': 30175, 'client_port': 20001, 'origin': 'manager', 'simulated_delay': 0.00035555555555555557, 'distance': 170.09879827715542, 'message_size_bits': 6400, 'cluster_manager': {'host': 'localhost', 'port': 30074, 'latitude': 36.6269982, 'longitude': 127.4590819, 'altitude': 88, 'offset_m': 'lat: 44 m, lng: 51 m, alt: 88 m'}}
[2025-03-12 11:29:41,314] [INFO] [CLUSTER LEADER 30175] Broadcasting PRE-PREPARE: REQUEST 1741746581286
[2025-03-12 11:29:41,460] [INFO] [30175] PREPARE received from 30199 for REQUEST 1741746581286
[2025-03-12 11:29:41,460] [INFO] [30175] PREPARE received from 30131 for REQUEST 1741746581286
[2025-03-12 11:29:41,460] [INFO] [30175] Broadcasting COMMIT: REQUEST 1741746581286
[2025-03-12 11:29:41,462] [INFO] [30175] PREPARE received from 30178 for REQUEST 1741746581286
[2025-03-12 11:29:41,472] [INFO] [30175] PREPARE received from 30100 for REQUEST 1741746581286
[2025-03-12 11:29:41,517] [INFO] [30175] PREPARE received from 30036 for REQUEST 1741746581286
[2025-03-12 11:29:42,527] [INFO] [30175] COMMIT received from 30178 for REQUEST 1741746581286
[2025-03-12 11:29:42,527] [INFO] [30175] COMMIT received from 30199 for REQUEST 1741746581286
[2025-03-12 11:29:42,527] [INFO] [30175] COMMIT complete. Sending PRE-REPLY: REQUEST 1741746581286 directly to Manager 30074
[2025-03-12 11:29:43,383] [INFO] [30175] PREPARE received from 30182 for REQUEST 1741746581286
[2025-03-12 11:29:44,392] [INFO] [30175] PREPARE received from 30033 for REQUEST 1741746581286
[2025-03-12 11:29:44,392] [INFO] [30175] PREPARE received from 30042 for REQUEST 1741746581286
[2025-03-12 11:29:44,392] [INFO] [30175] PREPARE received from 30114 for REQUEST 1741746581286
[2025-03-12 11:29:44,392] [INFO] [30175] PREPARE received from 30198 for REQUEST 1741746581286
[2025-03-12 11:29:44,424] [INFO] [30175] COMMIT received from 30100 for REQUEST 1741746581286
[2025-03-12 11:29:44,427] [INFO] [30175] PREPARE received from 30013 for REQUEST 1741746581286
[2025-03-12 11:29:44,427] [INFO] [30175] PREPARE received from 30006 for REQUEST 1741746581286
[2025-03-12 11:29:44,427] [INFO] [30175] PREPARE received from 30130 for REQUEST 1741746581286
[2025-03-12 11:29:44,427] [INFO] [30175] PREPARE received from 30070 for REQUEST 1741746581286
[2025-03-12 11:29:44,427] [INFO] [30175] PREPARE received from 30084 for REQUEST 1741746581286
[2025-03-12 11:29:44,427] [INFO] [30175] PREPARE received from 30141 for REQUEST 1741746581286
[2025-03-12 11:29:44,427] [INFO] [30175] PREPARE received from 30023 for REQUEST 1741746581286
