[2025-03-20 12:41:57,961] [INFO] [Node_116] Starting node at localhost:30115 | index=116 | f=1, k=4
[2025-03-20 12:42:35,717] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30079, delay:0.9322s, distance:0157.72m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,733] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30022, delay:0.4661s, distance:0081.04m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,770] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30085, delay:0.4661s, distance:0055.61m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:35,794] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30113, delay:0.3107s, distance:0042.28m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:35,810] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30117, delay:0.4661s, distance:0067.67m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:35,830] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30100, delay:0.4661s, distance:0078.18m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,845] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30031, delay:0.6991s, distance:0101.98m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:35,859] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30088, delay:0.4661s, distance:0063.19m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,875] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30040, delay:0.6991s, distance:0106.34m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:35,891] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30083, delay:0.6991s, distance:0111.76m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:35,905] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30015, delay:0.3107s, distance:0040.58m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,918] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30018, delay:0.6991s, distance:0105.78m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,934] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30090, delay:0.4661s, distance:0099.65m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:35,948] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30048, delay:0.6991s, distance:0134.88m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,964] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30077, delay:0.4661s, distance:0097.14m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:35,980] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30096, delay:0.6991s, distance:0144.04m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:35,993] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30019, delay:0.0000s, distance:0100.16m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:36,007] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30084, delay:0.4661s, distance:0094.89m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:36,021] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30081, delay:0.6991s, distance:0142.79m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:36,033] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30014, delay:0.4661s, distance:0099.57m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:36,049] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30007, delay:0.9322s, distance:0155.15m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:36,065] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30008, delay:0.4661s, distance:0088.37m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:36,084] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30020, delay:0.4661s, distance:0074.14m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:36,100] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30010, delay:0.4661s, distance:0085.90m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:36,116] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30011, delay:0.6991s, distance:0134.50m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:36,132] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30109, delay:0.6991s, distance:0147.27m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:36,329] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30037, delay:0.6991s, distance:0103.00m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:36,483] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30080, delay:0.4661s, distance:0081.85m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:36,501] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30038, delay:0.9322s, distance:0156.81m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:36,544] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30021, delay:0.6991s, distance:0135.79m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:36,566] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30033, delay:0.9322s, distance:0158.76m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:36,590] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30093, delay:0.4661s, distance:0062.06m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:36,611] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30114, delay:0.4661s, distance:0099.93m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:36,629] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30027, delay:0.4661s, distance:0089.94m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:36,647] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30091, delay:0.4661s, distance:0097.79m (Euclidean), mes_siz_bit:16778832
[2025-03-20 12:42:36,673] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30002, delay:0.6991s, distance:0106.02m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:37,579] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30086, delay:0.3107s, distance:0044.88m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:37,648] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30030, delay:0.4661s, distance:0067.05m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:37,670] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30110, delay:0.4661s, distance:0078.23m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:37,692] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30082, delay:0.3107s, distance:0035.40m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:37,712] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30009, delay:0.4661s, distance:0077.40m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:37,740] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30057, delay:0.3107s, distance:0045.69m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:37,759] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30041, delay:0.9322s, distance:0181.89m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:37,781] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30023, delay:0.6991s, distance:0115.45m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:37,803] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30025, delay:0.6991s, distance:0104.32m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:37,822] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30039, delay:0.4661s, distance:0063.66m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:37,854] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30105, delay:0.6991s, distance:0128.57m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:37,905] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30063, delay:0.4661s, distance:0085.17m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:37,953] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30051, delay:0.6991s, distance:0123.08m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:37,990] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30003, delay:0.6991s, distance:0149.83m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:38,008] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30067, delay:0.4661s, distance:0098.29m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:38,030] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30047, delay:0.6991s, distance:0111.96m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:38,227] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30006, delay:0.4661s, distance:0061.15m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:38,654] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30054, delay:0.4661s, distance:0056.90m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:39,814] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30017, delay:0.9322s, distance:0160.67m (Euclidean), mes_siz_bit:16778856
