[2025-03-19 11:51:39,539] [INFO] PBFT Scenario: f=1, k=4 | Role: CLIENT
[2025-03-19 11:51:39,597] [INFO] Waiting for /start-protocol trigger (use curl to start consensus)...
[2025-03-19 11:51:47,657] [INFO] [][][][][][]============> /start-protocol request received: Starting consensus rounds
[2025-03-19 11:51:47,689] [INFO] Prewarm connections completed.
[2025-03-19 11:51:47,689] [INFO] Starting warm-up round to stabilize connections...
[2025-03-19 11:51:47,689] [INFO] [CLIENT] >> REQUEST 1742352707689 ¡æ Leader(30000) with dumped data size
[2025-03-19 11:53:54,460] [INFO] PBFT Scenario: f=1, k=4 | Role: CLIENT
[2025-03-19 11:53:54,460] [INFO] Waiting for /start-protocol trigger (use curl to start consensus)...
[2025-03-19 11:54:02,973] [INFO] [][][][][][]============> /start-protocol request received: Starting consensus rounds
[2025-03-19 11:54:02,990] [INFO] Prewarm connections completed.
[2025-03-19 11:54:02,990] [INFO] Starting warm-up round to stabilize connections...
[2025-03-19 11:54:02,990] [INFO] [CLIENT] >> REQUEST 1742352842990 ¡æ Leader(30000) with dumped data size
[2025-03-19 11:54:03,719] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.399151, 'sender': 30005, 'simulated_delay': 7.4e-05, 'distance': 219.59049146091093, 'message_size_bits': 888}
[2025-03-19 11:54:03,719] [INFO] [CLIENT] REPLY: {'request_id': 1742352842990, 'data': 'message_1742352842990', 'timestamp': 1742352843.399151, 'sender': 30022, 'simulated_delay': 7.4e-05, 'distance': 247.0850635832224, 'message_size_bits': 888}
[2025-03-19 11:54:03,719] [INFO] [CLIENT] << f+1 REPLY received for REQUEST 1742352842990
[2025-03-19 11:54:03,719] [INFO] Warm-up round completed. Starting measured rounds...
[2025-03-19 11:54:03,719] [INFO] [CLIENT] >> REQUEST 1742352843719 ¡æ Leader(30000) with dumped data size
[2025-03-19 11:54:04,059] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0556498, 'sender': 30036, 'simulated_delay': 4.977777777777778e-05, 'distance': 195.03698484193237, 'message_size_bits': 896}
[2025-03-19 11:54:04,063] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0556498, 'sender': 30034, 'simulated_delay': 4.977777777777778e-05, 'distance': 154.4872385095835, 'message_size_bits': 896}
[2025-03-19 11:54:04,065] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0576549, 'sender': 30012, 'simulated_delay': 4.977777777777778e-05, 'distance': 159.66646806384898, 'message_size_bits': 896}
[2025-03-19 11:54:04,067] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.059661, 'sender': 30024, 'simulated_delay': 3.7e-05, 'distance': 138.56428874143776, 'message_size_bits': 888}
[2025-03-19 11:54:04,067] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.059661, 'sender': 30033, 'simulated_delay': 4.933333333333333e-05, 'distance': 198.6772325866304, 'message_size_bits': 888}
